algorithm,run,tour,distance_m
GA,17,4 -> 5 -> 3 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 11 -> 14 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 12 -> 24 -> 22 -> 23 -> 20 -> 21 -> 10,302297.6377028144
GA,18,20 -> 23 -> 22 -> 21 -> 0 -> 19 -> 18 -> 13 -> 3 -> 4 -> 5 -> 6 -> 14 -> 10 -> 12 -> 24 -> 16 -> 17 -> 15 -> 11 -> 7 -> 1 -> 8 -> 2 -> 9,312776.0574341109
GA,19,10 -> 12 -> 7 -> 1 -> 0 -> 6 -> 8 -> 2 -> 4 -> 3 -> 13 -> 24 -> 21 -> 20 -> 23 -> 22 -> 16 -> 17 -> 15 -> 18 -> 19 -> 5 -> 9 -> 14 -> 11,297563.6380434381
GA,20,20 -> 23 -> 22 -> 24 -> 11 -> 14 -> 2 -> 8 -> 0 -> 1 -> 7 -> 6 -> 9 -> 5 -> 4 -> 3 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 10 -> 12 -> 21,301574.2379367259
GA,21,12 -> 10 -> 11 -> 14 -> 2 -> 9 -> 6 -> 8 -> 0 -> 1 -> 7 -> 5 -> 4 -> 3 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 21 -> 20 -> 23 -> 22 -> 24,291312.2907969516
GA,22,16 -> 21 -> 22 -> 23 -> 20 -> 1 -> 7 -> 12 -> 24 -> 10 -> 11 -> 3 -> 13 -> 4 -> 5 -> 14 -> 0 -> 8 -> 2 -> 6 -> 9 -> 19 -> 18 -> 15 -> 17,306930.49698113644
GA,23,16 -> 17 -> 15 -> 12 -> 10 -> 11 -> 13 -> 3 -> 6 -> 7 -> 1 -> 0 -> 8 -> 5 -> 14 -> 9 -> 2 -> 4 -> 19 -> 18 -> 24 -> 21 -> 20 -> 23 -> 22,304409.515828299
GA,24,19 -> 6 -> 2 -> 9 -> 14 -> 5 -> 8 -> 0 -> 1 -> 7 -> 12 -> 10 -> 11 -> 4 -> 3 -> 13 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20,292348.7184627942
GA,25,3 -> 19 -> 18 -> 13 -> 4 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 14 -> 10 -> 12 -> 24 -> 21 -> 20 -> 23 -> 22 -> 17 -> 16 -> 15 -> 11,293368.7952235609
GA,26,9 -> 3 -> 13 -> 18 -> 19 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 11 -> 4 -> 5 -> 14 -> 10 -> 12 -> 7 -> 1 -> 0 -> 8 -> 2 -> 6,293931.7824480471
GA,27,21 -> 15 -> 17 -> 16 -> 11 -> 14 -> 9 -> 2 -> 6 -> 19 -> 18 -> 13 -> 3 -> 4 -> 5 -> 8 -> 0 -> 1 -> 7 -> 12 -> 10 -> 24 -> 22 -> 23 -> 20,306627.5360886246
GA,28,17 -> 15 -> 24 -> 21 -> 12 -> 10 -> 14 -> 0 -> 8 -> 6 -> 5 -> 11 -> 13 -> 18 -> 19 -> 3 -> 4 -> 2 -> 9 -> 7 -> 1 -> 20 -> 23 -> 22 -> 16,306870.1527136167
GA,29,16 -> 10 -> 11 -> 13 -> 3 -> 4 -> 7 -> 1 -> 0 -> 8 -> 2 -> 6 -> 5 -> 9 -> 14 -> 12 -> 24 -> 21 -> 22 -> 23 -> 20 -> 19 -> 18 -> 15 -> 17,296015.4911991164
GA,30,9 -> 8 -> 5 -> 15 -> 17 -> 16 -> 24 -> 12 -> 14 -> 2 -> 6 -> 7 -> 1 -> 0 -> 4 -> 3 -> 11 -> 13 -> 18 -> 19 -> 10 -> 21 -> 22 -> 23 -> 20,318028.533225358
SA,1,8 -> 2 -> 9 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0,283936.2964636605
SA,2,13 -> 11 -> 3 -> 4 -> 5 -> 9 -> 2 -> 6 -> 8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19,283761.4763315304
SA,3,23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 9 -> 2 -> 6 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17 -> 16 -> 24 -> 21 -> 22,283761.47633153124
SA,4,16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 2 -> 9 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17,283761.47633152874
SA,5,9 -> 14 -> 10 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 8 -> 7 -> 1 -> 0 -> 2,283775.1561774705
SA,6,15 -> 17 -> 16 -> 24 -> 21 -> 22 -> 23 -> 20 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 9 -> 2 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18,283761.4763315366
SA,7,8 -> 0 -> 1 -> 7 -> 14 -> 10 -> 12 -> 20 -> 23 -> 22 -> 21 -> 24 -> 16 -> 17 -> 15 -> 18 -> 19 -> 13 -> 11 -> 3 -> 4 -> 5 -> 6 -> 9 -> 2,283761.47633153124
SA,8,16 -> 22 -> 23 -> 20 -> 21 -> 24 -> 12 -> 10 -> 14 -> 7 -> 1 -> 0 -> 8 -> 6 -> 9 -> 2 -> 5 -> 4 -> 3 -> 11 -> 13 -> 19 -> 18 -> 15 -> 17,283936.29646365176
